cp,edge,serv,tx
estimate[0],estimate[1],estimate[2],estimate[3],estimate[4],estimate[5],estimate[6],estimate[7]
0:0,25,145.00,52
1:-14566.38,-10776.28,-7216.43,-4477.86,-2832.96,-1418.75,-1000.02,-6.40,-0.14
0:2,81,208.00,49
1:144.90,-991.71,-2128.42,-779.13,-1347.48,-672.83,-957.00,-6.14,-0.14
0:8,242,208.00,49
1:144.90,175.83,207.90,94.30,110.09,55.03,62.53,0.24,-0.14
0:7,216,52.00,0
1:144.90,175.83,207.90,94.30,110.09,55.03,62.53,0.24,-0.14
0:6,187,26.00,10
1:144.88,93.34,207.94,357.21,367.91,20.72,-20.66,38.42,25.69
0:5,160,64.00,11
1:144.82,115.49,208.08,304.67,316.83,53.59,25.59,37.92,23.97
0:1,52,129.00,55
1:145.07,114.57,208.08,316.05,325.68,60.39,28.09,39.60,25.82
0:0,25,212.00,169
1:147.90,124.18,209.48,291.96,300.87,59.97,30.66,35.88,21.49
0:1,53,119.00,70
1:177.90,130.89,207.52,320.49,322.71,61.40,26.40,40.69,27.00
0:1,52,112.00,68
1:177.14,126.20,206.77,333.47,335.91,61.64,25.00,42.70,29.34
0:1,53,174.00,48
1:176.49,122.19,206.13,344.56,347.19,61.86,23.81,44.42,31.34
0:1,53,241.00,49
1:178.33,133.58,207.95,313.23,315.33,61.26,27.19,39.56,25.69
0:1,53,170.00,67
1:181.47,152.96,211.04,259.94,261.14,60.24,32.95,31.31,16.07
0:0,26,142.00,118
1:181.89,155.56,211.46,252.80,253.87,60.10,33.72,30.20,14.78
0:0,25,63.00,52
1:169.40,154.88,212.65,234.52,238.35,59.37,36.20,27.20,11.32
0:0,25,134.00,47
1:144.04,153.50,215.06,197.42,206.85,57.89,41.23,21.11,4.31
0:0,25,233.00,78
1:142.10,153.39,215.25,194.58,204.44,57.78,41.62,20.64,3.77
0:0,25,121.00,50
1:156.77,154.19,213.85,216.03,222.65,58.63,38.71,24.16,7.83
0:0,25,156.00,83
1:151.79,153.92,214.33,208.75,216.47,58.34,39.69,22.97,6.45
0:0,25,173.00,58
1:152.30,153.95,214.28,209.50,217.11,58.37,39.59,23.09,6.59
0:0,25,208.00,99
1:154.55,154.07,214.06,212.78,219.90,58.50,39.15,23.63,7.21
0:0,25,116.00,68
1:159.79,154.35,213.57,220.45,226.40,58.81,38.11,24.89,8.66
0:0,25,243.00,162
1:155.88,154.14,213.94,214.72,221.54,58.58,38.89,23.95,7.58
0:0,25,189.00,90
1:163.02,154.53,213.26,225.17,230.41,59.00,37.47,25.66,9.55
0:0,25,106.00,68
1:164.99,154.64,213.07,228.04,232.85,59.11,37.08,26.14,10.10
0:0,25,126.00,91
1:160.83,154.41,213.47,221.96,227.69,58.87,37.90,25.14,8.95
0:0,25,90.00,56
1:158.54,154.29,213.69,218.61,224.84,58.74,38.36,24.59,8.31
0:0,25,126.00,56
1:154.31,154.06,214.09,212.41,219.58,58.49,39.20,23.57,7.14
0:0,25,116.00,51
1:152.66,153.97,214.24,210.00,217.54,58.39,39.53,23.18,6.69
0:0,25,73.00,55
1:150.65,153.86,214.44,207.06,215.03,58.28,39.93,22.69,6.13
0:0,25,83.00,53
1:146.60,153.64,214.82,201.14,210.01,58.04,40.73,21.72,5.01
0:0,25,126.00,52
1:143.45,153.47,215.12,196.53,206.10,57.86,41.35,20.96,4.14
0:0,25,229.00,117
1:142.63,153.42,215.20,195.33,205.07,57.81,41.52,20.77,3.91
0:0,25,83.00,54
1:146.52,153.63,214.83,201.02,209.91,58.04,40.74,21.70,4.99
0:0,25,74.00,51
1:143.78,153.48,215.09,197.01,206.50,57.88,41.29,21.04,4.23
