cp,edge,serv,tx
estimate[0],estimate[1],estimate[2],estimate[3],estimate[4],estimate[5],estimate[6],estimate[7]
0:0,25,160.00,89
1:-14566.38,-10776.28,-7216.43,-4477.86,-2832.96,-1418.75,-1000.02,-6.40,-0.14
0:2,81,80.00,49
1:159.90,-980.67,-2121.34,-774.59,-1344.93,-671.55,-956.72,-6.14,-0.14
0:6,187,31.00,13
1:159.90,119.33,79.90,48.23,28.28,14.17,3.81,-0.14,-0.14
0:4,134,50.00,21
1:159.87,133.03,79.97,15.40,-3.69,32.74,30.73,-1.16,-1.56
0:8,241,50.00,21
1:159.54,119.75,81.04,68.75,49.00,39.88,29.59,9.11,6.27
0:7,216,56.00,0
1:159.54,119.75,81.04,68.75,49.00,39.88,29.59,9.11,6.27
0:5,160,29.00,11
1:161.55,115.69,74.22,75.78,55.35,46.27,36.34,22.90,3.64
0:3,107,77.00,25
1:160.85,113.50,75.00,70.53,54.64,35.51,30.88,22.00,2.78
0:1,53,107.00,61
1:161.40,112.98,74.56,74.21,57.19,36.34,30.01,22.30,3.13
0:2,81,139.00,58
1:159.56,110.54,72.56,74.51,57.82,35.79,29.74,22.64,3.53
0:1,52,155.00,55
1:154.43,123.20,100.85,72.89,64.51,32.98,31.57,18.82,-0.63
0:3,107,145.00,19
1:162.23,131.31,105.36,71.93,61.28,35.42,32.41,17.94,-1.67
0:1,52,158.00,85
1:167.71,129.89,104.50,98.34,79.50,41.85,26.29,19.72,0.48
0:1,53,135.00,65
1:173.25,135.59,107.67,97.91,77.40,43.63,26.82,19.12,-0.23
0:1,53,231.00,132
1:173.15,135.49,107.61,97.92,77.44,43.59,26.81,19.13,-0.22
0:2,81,118.00,56
1:186.58,149.27,115.28,96.87,72.35,47.91,28.12,17.67,-1.93
0:2,81,142.00,78
1:186.22,149.43,116.00,96.85,72.64,47.76,28.15,17.58,-2.02
0:2,81,228.00,106
1:183.48,150.63,121.48,96.75,74.85,46.64,28.38,16.90,-2.75
0:0,25,183.00,141
1:174.20,154.72,140.02,96.38,82.35,42.84,29.14,14.59,-5.21
0:5,161,67.00,10
1:177.37,155.62,139.54,96.84,82.63,42.14,28.87,14.90,-4.86
0:0,25,120.00,56
1:176.05,156.71,138.84,98.41,81.85,50.60,34.68,15.63,-4.19
0:0,25,134.00,55
1:161.31,152.30,141.24,96.05,80.63,52.79,35.18,14.07,-5.92
0:0,25,163.00,79
1:155.62,150.60,142.16,95.14,80.16,53.64,35.37,13.47,-6.59
0:0,25,128.00,55
1:156.88,150.97,141.96,95.34,80.27,53.45,35.33,13.61,-6.44
0:0,25,124.00,78
1:152.64,149.70,142.65,94.66,79.92,54.08,35.47,13.16,-6.94
0:0,25,147.00,68
1:148.96,148.60,143.25,94.08,79.62,54.62,35.60,12.77,-7.38
0:0,25,118.00,58
1:148.74,148.53,143.28,94.04,79.60,54.66,35.61,12.75,-7.40
0:0,26,175.00,101
1:145.60,147.59,143.79,93.54,79.34,55.12,35.71,12.42,-7.77
0:0,25,131.00,109
1:148.32,148.41,143.35,93.97,79.56,54.72,35.62,12.70,-7.45
0:0,25,151.00,73
1:146.85,147.97,143.59,93.74,79.44,54.94,35.67,12.55,-7.62
0:0,25,135.00,115
1:147.18,148.07,143.54,93.79,79.47,54.89,35.66,12.58,-7.59
0:0,25,66.00,55
1:146.29,147.80,143.68,93.65,79.40,55.02,35.69,12.49,-7.69
0:0,26,72.00,54
1:140.87,146.18,144.56,92.78,78.95,55.83,35.87,11.92,-8.33
0:0,25,144.00,129
