cp,fi[0],fi[1],fi[2],fi[3],fi[4],fi[5],fi[6],fi[7],fi[8],ei[0],ei[1],ei[2],ei[3],ei[4],ei[5],ei[6],ei[7]
3,25,52,81,107,133,160,186,216,241,7688,87,52,26,24,11,10,844
3,25,52,81,107,134,160,187,216,241,77536,56,53,23,25,10,310,0
3,25,53,81,107,133,160,186,216,241,46,49,66,27,22,10,9,0
3,25,53,81,107,133,160,186,217,241,147,844,45,22,22,9,9,0
3,25,52,81,107,134,160,186,216,241,134,213,49,30,21,15,11,0
3,25,52,81,107,134,161,186,216,241,91,51,82,24,20,10,11,0
3,25,53,81,107,134,161,187,216,241,48,72,53,25,21,12,9,0
3,25,52,81,107,134,160,187,217,241,55,60,51,21,26,9,13,0
3,25,52,81,107,134,160,187,216,241,73,67,55,25,19,10,10,0
3,25,53,81,107,134,160,187,216,242,67,54,56,26,24,10,12,0
3,25,52,81,107,134,160,187,217,242,59,50,55,21,23,10,9,0
3,25,53,81,107,134,160,186,216,242,48,50,60,21,22,11,10,0
3,25,52,81,107,133,160,187,217,242,115,52,50,21,25,9,12,0
3,25,53,80,107,133,160,186,216,242,69,47,52,26,24,11,9,0
3,25,53,81,107,134,160,186,216,242,112,53,46,23,24,11,9,0
3,25,52,80,107,134,160,187,216,242,67,50,54,22,27,9,11,0
3,25,52,81,107,134,160,187,217,242,74,55,52,23,28,10,9,0
3,25,53,81,107,134,160,187,216,241,53,54,49,27,29,11,10,0
3,25,52,81,107,134,160,187,216,242,89,55,51,30,19,10,15,0
3,25,53,81,107,134,160,187,216,241,71,55,45,25,29,11,9,0
3,25,52,81,107,134,160,187,216,242,50,62,64,25,21,9,11,0
3,25,52,81,107,133,160,187,216,241,101,54,47,27,23,11,9,28
3,25,52,81,106,133,160,186,217,241,1008,52,55,23,24,12,9,0
3,25,52,80,107,134,160,187,216,242,102,56,60,24,23,9,10,0
