cp,fron,end,ans,total,ping
2,96,1202,4,1302,4.66
8,286,0,3,289,10.7
8,286,0,3,289,6.70
8,286,0,3,289,11.3
8,286,0,3,289,102
7,256,182,3,441,4.77
8,286,0,3,289,4.72
8,286,0,3,289,2.55
8,286,0,3,289,2.32
8,286,0,3,289,16.8
3,127,1028,3,1158,18.0
8,285,0,3,288,13.4
8,286,0,3,289,5.33
8,286,0,3,289,3.38
8,286,0,3,289,9.03
5,190,57,3,250,3.95
8,286,0,3,289,12.8
8,286,0,3,289,18.3
8,286,0,3,289,2.51
