cp,edge,serv,tx
estimate[0],estimate[1],estimate[2],estimate[3],estimate[4],estimate[5],estimate[6],estimate[7]
0:0,26,106.00,54
1:-14566.38,-10776.28,-7216.43,-4477.86,-2832.96,-1418.75,-1000.02,-6.40,-0.14
0:2,81,145.00,54
1:105.90,-1020.41,-2146.82,-790.91,-1354.11,-676.15,-957.76,-6.14,-0.14
0:8,241,145.00,54
1:105.90,124.83,144.90,65.81,75.60,37.79,42.30,0.11,-0.14
0:7,217,51.00,0
1:105.90,124.83,144.90,65.81,75.60,37.79,42.30,0.11,-0.14
0:6,187,35.00,11
1:105.88,43.74,144.94,324.28,329.08,4.07,-39.50,37.65,25.26
0:5,160,33.00,11
1:105.79,79.16,145.16,238.96,246.12,56.62,34.40,36.83,22.48
0:1,53,183.00,53
1:105.21,81.29,145.15,212.74,225.72,41.08,28.63,32.96,18.20
0:3,107,89.00,26
1:125.25,149.23,155.05,40.78,48.59,38.07,46.85,6.43,-12.73
0:4,134,48.00,20
1:128.58,142.51,160.53,84.93,91.49,41.86,42.70,11.72,-6.52
0:0,25,125.00,65
1:130.59,147.00,152.88,67.91,67.04,44.66,40.40,8.38,-10.40
0:0,25,97.00,49
1:128.06,146.06,153.30,67.57,67.18,44.76,40.55,8.20,-10.60
0:0,25,111.00,53
1:118.41,142.47,154.89,66.26,67.73,45.13,41.10,7.53,-11.34
0:0,25,185.00,142
1:116.65,141.81,155.18,66.02,67.83,45.20,41.21,7.40,-11.48
0:0,26,93.00,54
1:129.73,146.67,153.03,67.79,67.09,44.70,40.45,8.31,-10.47
0:0,25,89.00,60
1:123.83,144.48,154.00,66.99,67.42,44.92,40.79,7.90,-10.93
0:0,25,87.00,60
1:119.00,142.68,154.79,66.34,67.70,45.11,41.07,7.57,-11.30
0:0,25,119.00,62
1:115.11,141.23,155.44,65.81,67.92,45.25,41.29,7.29,-11.60
0:0,25,119.00,57
1:115.53,141.39,155.37,65.87,67.89,45.24,41.27,7.32,-11.56
0:0,25,149.00,121
1:115.87,141.51,155.31,65.91,67.87,45.23,41.25,7.35,-11.54
0:0,25,108.00,66
1:118.82,142.61,154.83,66.31,67.71,45.11,41.08,7.55,-11.31
0:0,25,127.00,55
1:117.93,142.28,154.97,66.19,67.76,45.15,41.13,7.49,-11.38
0:0,25,187.00,143
1:118.62,142.53,154.86,66.28,67.72,45.12,41.09,7.54,-11.33
0:0,25,118.00,55
1:123.42,144.32,154.07,66.93,67.45,44.94,40.82,7.87,-10.96
0:0,25,145.00,63
1:123.07,144.19,154.13,66.89,67.47,44.95,40.84,7.85,-10.99
0:0,25,137.00,55
1:124.42,144.69,153.90,67.07,67.39,44.90,40.76,7.94,-10.88
0:0,25,170.00,125
1:125.15,144.96,153.78,67.17,67.35,44.87,40.72,7.99,-10.83
0:0,25,126.00,56
1:127.61,145.88,153.38,67.50,67.21,44.78,40.58,8.17,-10.64
