fi[0],fi[1],fi[2],fi[3],fi[4],fi[5],fi[6],fi[7],fi[8],ei[0],ei[1],ei[2],ei[3],ei[4],ei[5],ei[6],ei[7]
25,53,81,108,134,161,187,217,242,225,98,101,44,43,23,20,2
25,52,82,107,134,161,187,217,242,170,106,116,61,37,22,21,2
25,52,81,108,134,161,187,217,242,94,108,92,35,51,21,21,2
25,52,81,107,134,161,187,217,242,243,84,85,46,42,22,21,0
25,52,82,108,134,160,187,217,241,87,93,86,43,41,22,22,2
25,52,81,108,134,161,187,217,242,139,96,90,39,43,20,20,2
25,52,81,107,134,161,187,217,242,78,120,89,38,35,21,23,2
25,52,82,107,134,161,187,217,242,85,83,78,38,37,22,18,2
25,52,81,107,134,160,187,217,241,101,77,91,41,51,25,18,2
25,52,81,107,134,160,187,216,242,181,85,79,53,45,19,49,2
25,52,81,107,134,161,187,217,242,97,122,97,47,43,20,24,2
25,52,81,108,134,160,187,217,242,714,117,103,42,44,22,21,2
25,53,81,107,134,161,187,217,242,452,102,89,48,48,19,24,2
25,53,81,107,134,161,187,217,242,94,94,113,40,37,22,20,2
25,53,82,107,134,161,187,217,242,92,111,87,60,46,23,26,0
25,52,81,107,134,160,187,216,241,207,100,92,52,39,25,26,0
25,53,81,107,134,161,187,217,241,99,91,220,47,55,25,25,2
25,53,81,107,134,160,187,217,242,97,144,78,43,46,19,90,2
25,53,81,107,134,161,187,216,242,188,102,499,41,39,21,20,2
25,52,81,107,134,160,187,217,242,82,96,98,34,245,24,23,0
25,52,81,107,134,161,187,217,242,440,95,110,55,186,18,22,2
25,52,81,107,134,160,187,216,242,1187,103,92,39,35,26,23,2
25,53,81,107,134,161,187,217,242,109,104,167,53,45,18,22,2
25,53,81,107,134,161,187,217,242,82,106,136,35,40,20,17,2
25,53,81,107,134,160,187,216,242,177,78,121,43,67,19,22,1
25,52,81,107,134,160,187,217,242,123,96,106,42,42,23,24,2
25,52,81,107,134,161,187,216,242,82,85,101,40,40,22,22,2
25,53,81,107,134,161,187,216,242,83,104,135,109,55,19,21,2
25,53,81,107,134,161,187,217,242,128,99,106,36,41,28,22,2
25,53,81,107,134,160,187,217,242,127,224,143,46,41,22,26,2
25,53,81,108,134,161,187,216,242,102,113,91,49,33,18,25,2
25,52,81,107,134,160,187,216,242,135,142,88,43,45,20,26,1
25,53,82,108,134,160,187,216,242,130,96,84,39,36,21,16,2
25,53,81,107,134,161,187,217,242,102,86,102,43,36,18,20,1
25,53,81,107,134,160,187,216,241,129,113,122,39,48,21,22,2
25,53,81,108,134,160,187,217,242,126,123,81,45,37,24,22,2
25,52,81,107,134,161,187,217,242,98,81,161,48,42,18,20,1
25,53,81,107,134,161,187,217,242,157,130,132,43,44,20,20,1
25,53,81,108,134,161,187,217,241,97,99,95,45,38,20,22,2
25,53,81,107,134,161,187,216,242,88,108,96,39,41,19,28,0
25,53,81,107,134,161,187,216,242,88,94,79,45,41,21,20,598
25,53,81,108,134,161,187,217,242,122,84,82,39,43,29,20,2
25,53,81,108,134,161,187,217,242,81,93,84,44,43,21,19,2
25,53,81,107,134,160,187,216,242,187,128,143,41,42,25,23,1
25,52,81,108,134,161,187,216,242,86,88,83,43,42,22,26,1
25,52,82,108,134,161,187,217,241,81,95,90,47,59,24,20,2
25,52,81,108,134,160,187,217,242,544,78,96,59,121,21,20,10
25,53,81,107,134,161,187,217,241,108,91,88,50,43,20,66,2
25,53,81,107,134,161,187,217,242,85,82,91,42,35,24,24,2
25,53,81,107,134,161,187,217,242,132,90,80,49,43,22,18,2
25,52,82,107,134,161,187,217,242,97,119,120,66,61,19,234,3
25,52,81,108,134,160,187,217,241,110,121,84,38,46,22,21,1
25,53,82,107,134,161,187,217,242,87,98,79,48,49,22,23,2
25,53,81,107,134,161,187,216,242,179,94,95,45,42,27,18,1
25,53,81,108,134,161,187,216,242,112,79,91,39,36,19,20,1
