cutting point,average power cons
0,2.4989536423841057
1,2.482583333333334
2,2.4143545816733063
3,2.418318725099602
4,2.4117450199203185
5,2.42503984063745
6,2.4209601593625494
7,2.479574850299401
8,2.4220358565737046
